Screenshot,Center,Holes (0-5),Link 0,Link 1,Link 2,Link 3,Link 4,Link 5,Status,Who?,Notes,,,,,,,,This is a Dupe,Probably an Error
LORE #6,Plus,"3,5",BBBBBBB,BBBBBBB,BBBBBBB,BPTDSBB,SSTCTDS,BPDBCCS,Z Lore,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
https://puu.sh/F1f3E/2eb45f6486.jpg,Clover,"2,4",BBBBBBB,BBBBBBB,BCSPSCB,PCDPCSB,DBCBDTS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
https://drive.google.com/open?id=1OTfJTu9CsEfBebN-XtRvlGhR3w02dk0G,Blank,4,BBBBBBB,BBBBBBB,BHSHDBP,DBSDPBS,HDSTHHT,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
LORE #3,Hexagon,"2,4,5",BBBBBBB,BBBBBBB,BPDBCCS,HDPBSDS,DHPCHPD,SBTHPPD,Z Lore,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
https://cdn.discordapp.com/attachments/667849167728541706/667867515162066964/code3-Titan-2pm.png,Blank,2,BBBBBBB,BBBBBBB,BTBDTCS,CDHCPTT,HTHDTTS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
https://imgur.com/3wPePzr,Blank,"1,4",BBBBBBB,BBBBBBB,CHBDBCD,HTSCBBP,CBPDHHC,BBBBBBB,Verified,,ENTRANCE!!!,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://drive.google.com/open?id=1IhwXGeEN50TrnIT6vszvtVO17wX58_ch,Blank,3,BBBBBBB,BBBBBBB,CHBSCDT,HHBSPHC,DSTDCPS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://media.discordapp.net/attachments/666872924967403550/667154043378073610/image0.jpg?width=764&height=676,Blank,"2,4",BBBBBBB,BBBBBBB,CHSHTDD,BBCCSPH,HTCSHBS,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
https://cdn.discordapp.com/attachments/667145204385579009/668322569396420608/Destiny_2_1_19_2020_12_14_32_AM.png,Blank,"2,4",BBBBBBB,BBBBBBB,CHSHTDD,BBCCSPH,HTCSHBS,BBBBBBB,Duplicate,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
https://drive.google.com/open?id=1YsMLQUEqxV_EyeOsVwLZOYVa7RkxTaIx,Blank,3,BBBBBBB,BBBBBBB,CPCHSCH,SDHCPCD,CTBPHCT,BBBBBBB,Verified,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
