Image,Center,Openings,Link1,Link2,Link3,Link4,Link5,Link6,Confidence,Transcription hash,Transcription count,Incorrect Rotation Flag
https://imgur.com/T24SkbC,S,3,SCHDHDT,PSHHCHP,SCDTCCH,HBCSSCP,THTPTPB,TPDTPCB,85,,7,False
https://cdn.discordapp.com/attachments/667865590589030401/667948450159001600/tiger_release_final_20200118_051133.png,B,3,DTTTHDC,BPTPTSC,CCHDTTD,CDHDHPH,BPDSPHP,BPHSDTB,100,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/666891011095658508/unknown.png,H,"2,5",DBCSSCP,DDSCHTP,HTCPDCS,SDPTCDC,TTDPHSD,BPHBBDC,83,,6,False
https://gyazo.com/41df889f6106b615d59f7204ef5ddc4e,B,"3,6",CSCPCTC,SSBTSSS,BBDSHBD,TBPDTDD,TTCBCCD,HHSCBSC,100,,6,False
https://cdn.discordapp.com/attachments/666723831024713739/666885430523854868/tiger_release_final_20200115_170157.png,H,5,DBSPTSD,SSPTTTH,SSPCHCD,HTDBBDD,DSDDHBT,DDDHCDS,80,,10,True
https://imgur.com/sCX47jR,B,"3,6",BBBHCPS,BPHTCDS,PSDBPBH,TPDTHBD,TDCPTHD,TSTBHTT,85,,7,False
https://imgur.com/UClQUDT,B,"1,3,4",HTPSSPD,PCSBSCS,PHTSCBC,PSPBPTT,HHCCSTS,DPPBPBH,85,,7,False
https://imgur.com/TFqPazi,B,6,SHBSCPD,CHCHPSH,CPHSBPT,DSHHDTS,TSSCSDP,SPSDPPP,83,,6,False
https://cdn.discordapp.com/attachments/666872924967403550/667221821048750133/Screenshot_504.jpg,B,"3,5",BTTCTSB,DSDBPBT,BTPCCTT,BCHPDPH,THHBCST,HDPTDTS,71,,7,False
https://gyazo.com/4455d1f26001e41facea528ae97ebc87,B,"3,5,6",HSPSCPT,HBHBPDH,CBBDHTB,PBTBHSS,TDHPCDC,BHHSTHS,85,,7,False
https://cdn.discordapp.com/attachments/374468920897175552/666870723024912384/Destiny_2_Screenshot_2020.01.14_-_21.05.54.09.png,S,3,DCCHHDC,BHBSDPB,CSTSTBS,PSHPDBH,PCHPBSP,HBDDHTP,85,,7,False
https://imgur.com/u8g4qVG,S,"3,6",TSPCBBB,SPHCCSS,PHBPBPS,PPSCTSB,DSBTHDH,CDBCSPD,100,,5,False
https://cdn.discordapp.com/attachments/666873697763590144/667122531957997599/unknown.png,P,"4,6",BBBBBBB,BBBBBBB,BBBBBBB,BPTDSBB,SSTCTDS,BPDBCCS,75,,8,False
https://imgur.com/U89vGsF,B,3,DCHCSCH,TPPDDHP,BTTSBTB,DBTDSHS,DBBTSDB,TTTTDCS,91,,12,True
https://cdn.discordapp.com/attachments/666873697763590144/666874515699269653/20200114234957_1.jpg,S,"5,6",PDHSCSB,CSPHPBH,CCHTDHB,DHPCCSB,TDTTBTS,PTCCPSD,83,,6,False
https://imgur.com/T6bCDlZ,P,2,SDCTDHC,SDDCHHC,THBSPDH,HCDBTPT,PTHHCDC,SDDSPHC,100,,7,False
https://gyazo.com/43fd7b548b75c73223586cc743c8efc4,B,"1,4,6",PCBTDPP,HCDPTBT,CCHCSBT,CSTDSTD,PTTHCTC,TCDBDHP,100,,6,False
https://cdn.discordapp.com/attachments/666873697763590144/666882490291716097/Destiny_2_Screenshot_2020.01.15_-_16.52.37.79.png,H,5,DPBPBCH,HBSPDDS,TBTBPSP,BCHDBBH,CCTDTPC,THCHCCC,83,,6,False
